run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,20,7,134,6,800,14,0,39,11,215,192,100,10,15,1,15,4,0,2,4
2,20,8,136,6,800,13,0,42,16,218,184,100,11,16,7,13,3,1,1,3
3,15,5,136,6,800,11,0,49,20,223,187,100,9,15,8,12,2,0,3,1
