run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,97,0,139,3,800,0,7,109,0,12,6,100,8,12,4,1,0,0,0,1
2,96,0,140,6,800,0,15,97,0,10,6,100,9,19,2,4,0,0,0,0
3,114,1,140,5,800,0,8,99,0,11,5,100,4,9,1,5,0,0,0,0
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,93,3,138,7,800,2,13,97,0,18,10,100,10,17,1,8,0,0,1,1
2,88,0,140,6,800,0,9,97,0,16,13,100,8,19,2,9,0,0,0,0
3,100,0,140,2,800,0,4,102,0,21,19,100,5,10,2,1,1,0,0,0
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,71,4,138,8,800,1,4,105,1,50,35,100,9,17,3,9,3,0,1,1
2,70,2,139,6,800,2,3,92,1,49,40,100,7,20,8,6,1,0,0,1
3,100,1,138,9,800,1,3,89,1,54,40,100,4,16,5,7,2,0,1,1
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,60,4,134,7,800,7,0,62,3,104,87,100,11,18,5,11,2,0,1,5
2,60,4,138,9,800,6,1,65,2,106,88,100,5,15,3,11,5,0,0,2
3,48,7,137,6,800,5,0,60,0,99,86,100,13,25,5,3,8,0,1,2
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,10,8,136,5,800,14,0,38,22,219,182,100,8,14,8,10,3,0,2,2
2,18,10,138,5,800,14,0,41,18,219,188,100,2,7,4,10,4,0,1,1
3,6,9,136,3,800,15,0,48,27,216,179,100,8,12,5,10,3,0,3,1
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0,21,171,0,800,6,0,24,396,692,297,69,0,4,3,3,0,0,0,0
2,0,24,181,2,800,11,0,17,378,691,298,58,6,5,7,6,3,0,1,0
3,0,23,165,0,800,9,0,26,400,692,288,74,1,3,6,2,0,0,1,0
