run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,240,120,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,195,111,86,0,800,9,2,38,8,125,109,34,5,8,10,0,1,0,0,0
1,2.0,84,54,56,2,800,8,0,43,12,179,150,62,14,13,10,8,2,0,1,1
1,3.0,31,20,50,5,800,9,0,52,16,211,176,66,13,15,9,11,2,0,1,3
1,4.0,19,9,46,7,800,11,0,54,14,220,188,69,9,16,7,9,4,0,2,3
2,0.0,400,240,120,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,195,111,83,1,800,7,0,30,7,123,107,37,6,10,10,3,1,0,0,0
2,2.0,80,48,60,4,800,17,0,45,15,184,144,58,10,12,13,6,5,1,2,0
2,3.0,47,18,58,9,800,17,0,46,18,208,163,60,8,17,6,9,9,3,1,1
2,4.0,26,11,53,13,800,15,0,45,11,212,180,60,4,23,6,9,6,2,3,4
3,0.0,400,240,120,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,188,103,79,0,800,9,0,37,9,132,116,41,3,4,7,3,1,0,0,0
3,2.0,91,43,59,2,800,10,0,46,17,190,159,60,8,11,9,3,4,0,1,0
3,3.0,51,21,49,3,800,12,0,47,16,208,179,68,9,12,6,7,3,1,0,3
3,4.0,23,11,40,6,800,13,0,50,12,216,191,76,5,14,6,8,3,1,0,4
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,141,102,151,0,800,5,1,33,11,132,119,89,4,7,4,2,1,0,0,0
1,2.0,56,55,140,1,800,9,0,41,10,172,157,100,7,15,10,6,1,0,0,0
1,3.0,21,19,139,2,800,9,0,48,21,206,180,100,8,18,8,5,3,0,1,0
1,4.0,10,7,138,3,800,9,0,48,21,217,191,100,8,18,6,7,3,0,2,0
2,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,149,92,171,1,800,6,0,31,9,144,126,69,5,8,9,2,1,0,0,0
2,2.0,44,37,142,1,800,11,0,39,13,192,170,97,8,12,7,4,4,0,0,1
2,3.0,22,16,137,3,800,15,0,39,18,213,182,100,6,12,9,4,4,0,2,1
2,4.0,13,6,135,4,800,17,0,41,19,222,189,100,6,8,5,10,3,0,2,3
3,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,138,97,160,0,800,6,2,38,11,140,123,80,5,7,8,1,0,0,0,0
3,2.0,49,40,140,0,800,11,0,50,19,191,162,100,8,10,10,5,2,0,0,0
3,3.0,20,15,137,0,800,13,1,54,22,215,184,100,10,10,5,3,3,1,2,1
3,4.0,11,5,134,0,800,14,0,53,25,223,190,100,12,11,5,5,2,0,5,1
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,240,720,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,147,110,620,0,800,7,4,24,12,125,111,100,4,7,5,2,0,0,0,0
1,2.0,56,48,618,1,800,11,0,40,20,180,155,100,6,15,10,1,2,0,0,2
1,3.0,29,18,616,2,800,17,0,42,24,210,174,100,7,12,7,1,6,0,1,3
1,4.0,13,7,614,3,800,16,1,40,22,221,188,100,8,13,5,2,5,0,1,5
2,0.0,400,240,720,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,123,96,620,0,800,5,2,43,18,144,118,100,5,4,6,0,1,0,0,0
2,2.0,43,40,620,1,800,6,0,50,13,196,170,100,9,10,9,2,3,0,0,0
2,3.0,18,26,619,2,800,9,0,53,8,209,186,100,8,8,8,5,3,0,0,1
2,4.0,12,11,615,4,800,6,0,51,16,224,196,100,8,10,5,5,1,0,4,1
3,0.0,400,240,720,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,133,115,620,1,800,3,1,35,10,122,105,100,6,11,10,0,0,0,0,0
3,2.0,51,44,618,6,800,5,0,45,17,189,157,100,7,14,5,5,5,0,1,1
3,3.0,21,18,616,9,800,5,0,47,16,211,185,100,2,18,4,5,4,0,2,2
3,4.0,10,8,614,9,800,5,0,47,18,220,194,100,3,17,1,7,3,0,3,3
