run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,3,6,136,4,800,14,0,35,28,229,180,100,8,8,11,7,2,0,3,1
2,9,9,133,6,800,17,0,28,16,218,180,100,13,12,5,15,4,0,5,2
3,0,2,137,3,800,18,0,41,35,226,174,100,8,9,7,9,5,0,3,0
