run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,11,5,140,2,800,6,0,52,19,220,198,100,8,14,4,12,1,0,0,0
2,21,12,139,4,800,2,0,50,16,215,198,100,5,16,1,6,3,0,1,0
3,9,4,138,2,800,5,0,66,22,226,203,100,4,9,2,7,0,0,2,0
