run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,19,7,137,3,800,15,0,48,16,217,186,100,13,15,3,9,6,2,2,1
2,12,8,137,1,800,7,0,56,27,222,184,100,15,14,7,9,1,0,1,2
3,21,6,136,4,800,11,0,43,21,218,186,100,12,17,5,12,2,1,2,2
