time,cat,S,SO3,H2
0,400,240,240,0
1,133,108,139,0
2,68,57,137,2
3,39,29,132,8
4,19,13,126,10
5,12,8,122,12
6,12,3,119,14
7,5,3,114,16
8,5,2,112,18
