run,cat,S,SO3,H2
1,38,7,8,15
2,62,11,4,25
3,64,10,9,19
run,cat,S,SO3,H2
1,50,7,19,18
2,30,7,17,19
3,44,8,19,18
run,cat,S,SO3,H2
1,31,6,50,16
2,27,10,47,10
3,23,7,52,13
run,cat,S,SO3,H2
1,21,7,128,8
2,23,15,133,12
3,9,6,133,9
run,cat,S,SO3,H2
1,11,9,613,6
2,18,9,613,10
3,25,9,609,11
