run,cat,S,SO3,H2
1,0,10,221,0
2,0,12,217,0
3,0,11,213,0
run,cat,S,SO3,H2
1,1,7,158,4
2,4,6,151,2
3,4,11,154,2
run,cat,S,SO3,H2
1,15,7,131,11
2,11,11,135,10
3,14,7,130,11
run,cat,S,SO3,H2
1,170,7,111,61
2,195,10,104,63
3,182,6,114,50
