run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,17,5,137,6,800,19,0,39,18,224,177,100,12,13,11,12,7,0,2,1
2,31,11,133,14,800,18,0,26,13,213,168,100,9,21,6,15,10,0,3,4
3,18,5,134,9,800,18,0,41,16,226,180,100,9,12,8,11,7,0,2,4
