run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,22,7,135,9,800,12,0,29,11,219,188,100,9,17,3,12,7,0,0,5
2,20,10,138,6,800,21,0,43,19,216,170,100,10,16,11,8,9,1,1,1
3,25,8,135,8,800,18,0,37,18,218,175,100,10,18,10,10,7,0,3,2
