time,cat,S,SO3,H2
0.0,400,240,240,0
1.0,157,104,156,1
2.0,48,41,131,5
3.0,17,15,120,8
4.0,11,4,112,10
5.0,7,3,104,11
6.0,4,1,101,11
7.0,3,0,99,12
8.0,3,0,98,13
