run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0,8,220,0,800,0,0,7,160,231,72,20,0,1,0,0,0,0,0,0
2,0,8,225,0,800,0,0,6,154,231,78,15,0,1,0,0,0,0,0,0
3,0,12,214,0,800,0,0,4,159,227,69,26,0,1,0,0,0,0,0,0
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,2,6,155,0,800,1,0,34,65,228,165,85,3,7,2,2,0,0,0,0
2,1,9,159,0,800,3,0,31,50,227,176,81,2,4,3,2,0,0,0,0
3,0,12,148,0,800,3,0,39,63,224,162,92,0,4,3,0,0,0,0,0
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,11,5,140,0,800,1,0,53,18,216,215,100,1,18,0,2,0,0,0,0
2,13,12,140,0,800,3,0,56,12,213,212,100,1,14,2,2,0,0,0,0
3,22,8,140,3,800,3,0,51,24,217,196,100,3,17,4,6,1,0,0,0
run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,178,9,140,1,800,0,0,235,0,180,224,100,5,51,0,7,0,0,0,0
2,197,11,140,0,800,1,0,223,1,183,223,100,4,48,3,2,0,0,0,0
3,214,11,140,1,800,0,0,213,0,190,223,100,4,40,1,5,0,0,0,0
