run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,100,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,7,110,221,0,800,0,0,6,63,129,67,19,0,1,0,0,0,0,0,0
1,2.0,0,43,220,0,800,0,0,7,125,196,72,20,0,1,0,0,0,0,0,0
1,3.0,0,20,220,0,800,0,0,7,148,219,72,20,0,1,0,0,0,0,0,0
1,4.0,0,8,220,0,800,0,0,7,160,231,72,20,0,1,0,0,0,0,0,0
2,0.0,100,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,7,88,225,0,800,0,0,6,81,151,71,15,0,1,0,0,0,0,0,0
2,2.0,0,29,225,0,800,0,0,6,133,210,78,15,0,1,0,0,0,0,0,0
2,3.0,0,14,225,0,800,0,0,6,148,225,78,15,0,1,0,0,0,0,0,0
2,4.0,0,8,225,0,800,0,0,6,154,231,78,15,0,1,0,0,0,0,0,0
3,0.0,100,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,8,101,214,0,800,0,0,4,78,138,61,26,0,1,0,0,0,0,0,0
3,2.0,0,49,214,0,800,0,0,4,122,190,69,26,0,1,0,0,0,0,0,0
3,3.0,0,24,214,0,800,0,0,4,147,215,69,26,0,1,0,0,0,0,0,0
3,4.0,0,12,214,0,800,0,0,4,159,227,69,26,0,1,0,0,0,0,0,0
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,300,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,79,106,170,0,800,0,0,28,16,131,117,70,1,4,1,0,0,0,0,0
1,2.0,16,41,156,0,800,1,0,34,39,195,158,84,1,5,2,0,0,0,0,0
1,3.0,3,18,155,0,800,1,0,35,54,216,165,85,2,7,2,1,0,0,0,0
1,4.0,2,6,155,0,800,1,0,34,65,228,165,85,3,7,2,2,0,0,0,0
2,0.0,300,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,85,102,178,0,800,1,0,28,15,135,122,62,0,2,0,1,0,0,0,0
2,2.0,20,44,162,0,800,2,0,32,31,192,162,78,1,4,2,1,0,0,0,0
2,3.0,4,19,159,0,800,3,0,31,43,217,173,81,2,4,3,2,0,0,0,0
2,4.0,1,9,159,0,800,3,0,31,50,227,176,81,2,4,3,2,0,0,0,0
3,0.0,300,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,79,103,166,0,800,0,0,31,24,134,113,74,0,3,0,0,0,0,0,0
3,2.0,9,39,150,0,800,2,0,37,41,197,158,90,0,4,2,0,0,0,0,0
3,3.0,1,18,148,0,800,3,0,38,57,218,162,92,0,4,3,0,0,0,0,0
3,4.0,0,12,148,0,800,3,0,39,63,224,162,92,0,4,3,0,0,0,0,0
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,147,100,155,0,800,0,0,36,9,139,131,85,0,1,0,0,0,0,0,0
1,2.0,53,42,140,0,800,1,0,48,11,186,186,100,0,12,1,0,0,0,0,0
1,3.0,22,15,140,0,800,1,0,52,16,208,207,100,1,16,0,2,0,0,0,0
1,4.0,11,5,140,0,800,1,0,53,18,216,215,100,1,18,0,2,0,0,0,0
2,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,137,101,149,0,800,0,0,37,10,133,129,91,0,6,0,0,0,0,0,0
2,2.0,53,46,140,0,800,2,0,50,10,183,181,100,1,12,3,0,0,0,0,0
2,3.0,27,22,140,0,800,2,0,53,12,205,203,100,1,13,2,1,0,0,0,0
2,4.0,13,12,140,0,800,3,0,56,12,213,212,100,1,14,2,2,0,0,0,0
3,0.0,400,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,162,115,166,0,800,0,0,41,4,123,121,74,0,2,0,0,0,0,0,0
3,2.0,63,50,140,0,800,2,1,53,16,182,172,100,1,9,2,0,0,0,0,0
3,3.0,35,22,140,2,800,3,0,52,21,207,187,100,3,13,5,5,0,0,0,0
3,4.0,22,8,140,3,800,3,0,51,24,217,196,100,3,17,4,6,1,0,0,0
run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,800,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,461,111,140,0,800,0,0,102,0,121,129,100,0,8,0,0,0,0,0,0
1,2.0,322,54,140,0,800,0,0,167,0,161,186,100,0,25,0,0,0,0,0,0
1,3.0,229,18,140,0,800,0,0,204,1,178,220,100,1,45,1,0,0,0,0,0
1,4.0,178,9,140,1,800,0,0,235,0,180,224,100,5,51,0,7,0,0,0,0
2,0.0,800,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,457,96,140,0,800,0,0,99,9,135,135,100,0,9,0,0,0,0,0,0
2,2.0,319,40,140,0,800,0,0,162,1,180,199,100,0,20,0,0,0,0,0,0
2,3.0,258,22,140,0,800,1,0,195,1,188,216,100,0,30,1,0,0,0,0,0
2,4.0,197,11,140,0,800,1,0,223,1,183,223,100,4,48,3,2,0,0,0,0
3,0.0,800,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,475,104,140,0,800,0,0,81,1,127,135,100,0,9,0,0,0,0,0,0
3,2.0,353,52,140,0,800,0,0,141,3,167,185,100,0,21,0,0,0,0,0,0
3,3.0,265,20,140,0,800,0,0,182,1,186,219,100,0,34,0,0,0,0,0,0
3,4.0,214,11,140,1,800,0,0,213,0,190,223,100,4,40,1,5,0,0,0,0
