run,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,27,10,138,6,800,21,0,28,10,214,175,100,14,18,12,13,8,1,2,0
2,30,3,135,4,800,20,0,39,27,217,176,100,11,17,7,12,4,1,3,2
3,9,7,137,4,800,11,0,58,21,217,190,100,6,14,6,13,0,0,2,1
