run,cat,S,SO3,H2
1,52,4,4,19
2,55,9,5,17
3,50,9,8,23
run,cat,S,SO3,H2
1,41,7,13,14
2,40,15,19,18
3,51,8,17,14
run,cat,S,SO3,H2
1,29,13,41,13
2,20,4,38,12
3,27,10,35,14
run,cat,S,SO3,H2
1,8,7,123,8
2,8,2,122,12
3,10,10,104,8
run,cat,S,SO3,H2
1,0,9,488,1
2,0,13,498,3
3,0,9,499,0
