run,cat,S,SO3,H2
1,43,0,75,9
2,39,0,76,11
3,37,0,78,5
run,cat,S,SO3,H2
1,48,1,75,10
2,42,2,77,8
3,34,0,76,11
run,cat,S,SO3,H2
1,43,3,68,15
2,37,2,82,11
3,45,5,79,14
run,cat,S,SO3,H2
1,35,5,100,12
2,26,5,89,10
3,28,5,89,17
run,cat,S,SO3,H2
1,17,11,111,13
2,6,6,122,8
3,11,8,109,10
run,cat,S,SO3,H2
1,0,23,181,0
2,0,31,183,2
3,2,23,177,3
