time,sulfide,sulfite,hydrogen
0.0,120,24,0
1.0,120,24,0
2.0,120,24,0
3.0,120,24,0
4.0,120,24,0
5.0,120,24,0
6.0,120,24,0
7.0,120,24,0
8.0,120,24,0
9.0,120,24,0
10.0,120,24,0
11.0,120,24,0
12.0,120,24,0
13.0,120,24,0
14.0,120,24,0
15.0,120,24,0
16.0,120,24,0
17.0,120,24,0
18.0,120,24,0
19.0,120,24,0
20.0,120,24,0
21.0,120,24,0
22.0,120,24,0
23.0,120,24,0
24.0,120,24,0
25.0,120,24,0
26.0,120,24,0
27.0,120,24,0
28.0,120,24,0
29.0,120,24,0
30.0,120,24,0
31.0,120,24,0
32.0,120,24,0
33.0,120,24,0
34.0,120,24,0
35.0,120,24,0
36.0,120,24,0
37.0,120,24,0
38.0,120,24,0
39.0,120,24,0
40.0,120,24,0
41.0,120,24,0
42.0,120,24,0
43.0,120,24,0
44.0,120,24,0
45.0,120,24,0
46.0,120,24,0
47.0,120,24,0
48.0,120,24,0
49.0,120,24,0
50.0,120,24,0
51.0,120,24,0
52.0,120,24,0
53.0,120,24,0
54.0,120,24,0
55.0,120,24,0
56.0,120,24,0
57.0,120,24,0
58.0,120,24,0
59.0,120,24,0
60.0,120,24,0
61.0,120,24,0
62.0,120,24,0
63.0,120,24,0
64.0,120,24,0
65.0,120,24,0
66.0,120,24,0
67.0,120,24,0
68.0,120,24,0
69.0,120,24,0
70.0,120,24,0
71.0,120,24,0
72.0,120,24,0
73.0,120,24,0
74.0,120,24,0
75.0,120,24,0
76.0,120,24,0
77.0,120,24,0
78.0,120,24,0
79.0,120,24,0
80.0,120,24,0
81.0,120,24,0
82.0,120,24,0
83.0,120,24,0
84.0,120,24,0
85.0,120,24,0
86.0,120,24,0
87.0,120,24,0
88.0,120,24,0
89.0,120,24,0
90.0,120,24,0
91.0,120,24,0
92.0,120,24,0
93.0,120,24,0
94.0,120,24,0
95.0,120,24,0
96.0,120,24,0
97.0,120,24,0
98.0,120,24,0
99.0,120,24,0
100.0,120,24,0
101.0,120,24,0
102.0,120,24,0
103.0,120,24,0
104.0,120,24,0
105.0,120,24,0
106.0,120,24,0
107.0,120,24,0
108.0,120,24,0
109.0,120,24,0
110.0,120,24,0
111.0,120,24,0
112.0,120,24,0
113.0,120,24,0
114.0,120,24,0
115.0,120,24,0
116.0,120,24,0
117.0,120,24,0
118.0,120,24,0
119.0,120,24,0
120.0,120,24,0
121.0,120,24,0
122.0,120,24,0
123.0,120,24,0
124.0,120,24,0
125.0,120,24,0
126.0,120,24,0
127.0,120,24,0
128.0,120,24,0
129.0,120,24,0
130.0,120,24,0
131.0,120,24,0
132.0,120,24,0
133.0,120,24,0
134.0,120,24,0
135.0,120,24,0
136.0,120,24,0
137.0,120,24,0
138.0,120,24,0
139.0,120,24,0
140.0,120,24,0
141.0,120,24,0
142.0,120,24,0
143.0,120,24,0
144.0,120,24,0
145.0,120,24,0
146.0,120,24,0
147.0,120,24,0
148.0,120,24,0
149.0,120,24,0
150.0,120,24,0
151.0,120,24,0
152.0,120,24,0
153.0,120,24,0
154.0,120,24,0
155.0,120,24,0
156.0,120,24,0
157.0,120,24,0
158.0,120,24,0
159.0,120,24,0
160.0,120,24,0
161.0,120,24,0
162.0,120,24,0
163.0,120,24,0
164.0,120,24,0
165.0,120,24,0
166.0,120,24,0
167.0,120,24,0
168.0,120,24,0
169.0,120,24,0
170.0,120,24,0
171.0,120,24,0
172.0,120,24,0
173.0,120,24,0
174.0,120,24,0
175.0,120,24,0
176.0,120,24,0
177.0,120,24,0
178.0,120,24,0
179.0,120,24,0
180.0,120,24,0
181.0,120,24,0
182.0,120,24,0
183.0,120,24,0
184.0,120,24,0
185.0,120,24,0
186.0,120,24,0
187.0,120,24,0
188.0,120,24,0
189.0,120,24,0
190.0,120,24,0
191.0,120,24,0
192.0,120,24,0
193.0,120,24,0
194.0,120,24,0
195.0,120,24,0
196.0,120,24,0
197.0,120,24,0
198.0,120,24,0
199.0,120,24,0
200.0,120,24,0
201.0,120,24,0
202.0,120,24,0
203.0,120,24,0
204.0,120,24,0
205.0,120,24,0
206.0,120,24,0
207.0,120,24,0
208.0,120,24,0
209.0,120,24,0
210.0,120,24,0
211.0,120,24,0
212.0,120,24,0
213.0,120,24,0
214.0,120,24,0
215.0,120,24,0
216.0,120,24,0
217.0,120,24,0
218.0,120,24,0
219.0,120,24,0
220.0,120,24,0
221.0,120,24,0
222.0,120,24,0
223.0,120,24,0
224.0,120,24,0
225.0,120,24,0
226.0,120,24,0
227.0,120,24,0
228.0,120,24,0
229.0,120,24,0
230.0,120,24,0
231.0,120,24,0
232.0,120,24,0
233.0,120,24,0
234.0,120,24,0
235.0,120,24,0
236.0,120,24,0
237.0,120,24,0
238.0,120,24,0
239.0,120,24,0
240.0,120,24,0
